Rankin Borough,4,14
Middle Hill,23,494
Moon Township,1,559
Spring Garden,23,40
Baldwin Township,22,1267
Ohio Township,10,972
Ingram Borough,7,96
Glenfield Borough,17,78
South Side Flats,7,922
East Pittsburgh Borough,18,84
Upper Hill,18,394
Brookline,18,1849
Upper Lawrenceville,5,33
Elizabeth Borough,19,188
Rankin Borough,19,130
Terrace Village,17,798
Oakmont Borough,8,255
Point Breeze,15,291
Troy Hill,7,129
Harmar Township,6,114
Oakwood,6,15
Duquesne Heights,12,336
Central Oakland,1,4446
Homestead Borough,7,174
Churchill Borough,16,298
Wilmerding Borough,2,72
Findlay Township,18,65
Whitaker Borough,14,45
Elliott,17,295
Verona Borough,10,104
Duquesne,20,730
Neville Township,21,247
Pleasant Hills Borough,10,772
Perry South,6,99
Bluff,20,3378
Leet Township,21,12
West View Borough,15,731
Morningside,17,141
Northview Heights,13,123
South Fayette Township,19,1623
Fineview,2,33
Beechview,21,2758
Carnegie Borough,16,764
West Elizabeth Borough,11,8
Point Breeze North,1,340
Moon Township,8,427
Regent Square,6,8
Fineview,17,196
East Carnegie,23,165
Squirrel Hill North,19,1474
Pine Township,19,740
Fairywood,22,207
Allegheny West,12,559
Brookline,13,1712
Elizabeth Borough,20,203
Rosslyn Farms Borough,3,9
Emsworth Borough,18,339
Glen Osborne Borough,20,149
Frazer Township,2,16
Outside Pittsburgh,9,4
Oakmont Borough,3,266
South Fayette Township,13,1128
Harmar Township,13,424
Richland Township,22,753
Duquesne Heights,11,219
Central Oakland,8,1746
Friendship,17,175
Troy Hill,2,112
Chateau,21,321
Findlay Township,11,182
Ben Avon Heights Borough,5,1
East Pittsburgh Borough,4,15
Liberty Borough,20,623
Duquesne,19,539
Fox Chapel Borough,8,121
Clairton,11,675
Pleasant Hills Borough,5,386
Carrick,18,1851
West View Borough,8,170
Bell Acres Borough,13,39
Springdale Township,18,66
Coraopolis Borough,22,785
Central Oakland,12,6025
Perry South,3,110
South Versailles Township,18,5
Beechview,18,1550
West Elizabeth Borough,7,5
Collier Township,4,75
Moon Township,19,885
Hampton Township,21,2102
St. Clair,18,8
Spring Garden,5,8
Esplen,15,53
Pittsburgh,16,878
Oakdale Borough,8,57
Squirrel Hill North,10,1425
West End,13,180
Cheswick Borough,18,58
South Side Flats,21,6011
McCandless Township,12,2687
Sewickley Heights Borough,11,23
Upper Hill,20,640
Upper Hill,7,84
Outside Allegheny,17,4715
Hays,18,55
Munhall Borough,16,1448
Rosslyn Farms Borough,10,92
Glen Osborne Borough,10,31
Frazer Township,11,114
McKeesport,3,996
Outside Pittsburgh,6,1
Mount Oliver Borough,8,86
Leet Township,19,7
Lincoln Place,16,255
Harmar Township,20,549
Duquesne Heights,2,84
Central Oakland,23,8110
Findlay Township,15,115
Rosslyn Farms Borough,14,108
Monroeville,17,84
Findlay Township,4,8
Turtle Creek Borough,9,348
South Park Township,8,713
Bon Air,15,100
Clairton,2,634
Crawford-Roberts,14,244
Green Tree Borough,18,983
West View Borough,17,695
Bell Acres Borough,2,2
Springdale Township,9,24
Crafton Borough,12,425
Jefferson Hills Borough,23,1149
Marshall-Shadeland,21,874
Lower Lawrenceville,4,54
Collier Township,3,115
Verona Borough,15,264
Hampton Township,14,1240
Spring Garden,10,49
Marshall Township,1,34
Squirrel Hill North,1,863
West End,4,37
Manchester,7,67
McKees Rocks Borough,4,40
Scott Township,8,636
Jefferson Hills Borough,14,935
Versailles Borough,8,169
West Homestead Borough,14,509
Neville Township,18,186
Windgap,23,276
Elizabeth Borough,6,22
Jefferson Hills Borough,1,435
Glen Osborne Borough,1,25
Frazer Township,20,184
Whitaker Borough,1,52
McKeesport,8,1352
Bridgeville Borough,1,192
South Side Slopes,1,531
Richland Township,4,41
Homewood South,1,206
Reserve Township,5,15
Wilkinsburg Borough,8,628
Arlington Heights,0,3
Rankin Borough,15,78
Esplen,7,75
Central Northside,12,492
East Pittsburgh Borough,21,114
Ross Township,22,7441
Duquesne,1,615
O Hara Township,15,1656
Neville Township,0,135
Stanton Heights,2,190
Elizabeth Borough,10,103
Bell Acres Borough,9,31
Perry South,17,304
Crafton Borough,23,516
Morningside,19,297
South Fayette Township,14,1226
Esplen,12,71
Highland Park,13,892
Marshall-Shadeland,18,528
Overbrook,14,862
Collier Township,10,938
Pittsburgh,19,1042
Bedford Dwellings,20,311
Arlington,17,127
Hays,14,42
East Carnegie,0,107
East Carnegie,2,69
Manchester,14,102
Scott Township,17,1532
Jefferson Hills Borough,10,709
West Homestead Borough,7,145
Outside Allegheny,7,1608
Munhall Borough,2,954
Ridgemont,23,95
Castle Shannon Borough,3,122
Leet Township,20,8
Kilbuck Township,17,127
Outside Pittsburgh,20,4
Bridgeville Borough,8,155
Crafton Heights,21,916
South Side Slopes,10,476
Banksville,9,431
Richland Township,3,47
Wilkinsburg Borough,7,565
