lat,lon,num_tweets,num_users
40.61,-80.09,606,355
40.51,-80.1,2626,200
40.45,-79.93,17618,2204
40.62,-80.01,341,17
40.4,-79.85,138,54
40.48,-80.05,1394,205
40.33,-80.03,1723,218
40.4,-80.14,1302,58
40.49,-79.84,722,85
40.51,-80.16,1354,171
40.56,-79.84,387,99
40.34,-79.98,7537,345
40.28,-79.86,43,33
40.49,-79.82,2779,100
40.24,-79.85,33,17
40.43,-80.18,5,2
40.45,-79.99,14725,4204
40.24,-79.83,8,3
40.25,-80.19,4182,350
40.5,-79.84,2260,230
40.59,-80.2,5,4
40.46,-80.2,583,62
40.34,-80.02,1795,366
40.41,-80.07,2497,404
40.5,-80.03,3605,180
40.31,-80.18,44,7
40.52,-80.17,4892,262
40.43,-79.99,11706,2655
40.53,-79.99,3344,135
40.6,-80.11,11,7
40.39,-79.86,2632,1129
40.39,-80.01,6728,250
40.44,-80.0,146795,11330
40.57,-80.09,211,134
40.61,-80.03,45,10
40.49,-79.98,117,51
40.44,-79.82,1864,197
40.33,-79.88,1072,41
40.32,-80.18,413,34
40.59,-80.09,205,69
40.54,-80.01,10121,2263
40.61,-80.06,720,151
40.35,-80.18,2,2
40.35,-79.89,2472,137
40.44,-80.02,4448,1267
40.37,-79.89,238,50
40.35,-80.0,2816,191
40.39,-79.88,4986,137
40.38,-80.03,3519,151
40.58,-79.8,22,16
40.49,-79.8,1035,67
40.61,-79.87,22,11
40.31,-79.83,3380,121
40.32,-80.15,210,159
40.47,-80.07,5207,254
40.52,-80.2,255,48
40.61,-80.05,1403,420
40.54,-79.92,24,9
40.56,-80.13,12,12
40.48,-80.03,10382,196
40.42,-79.85,4540,389
40.47,-79.83,3944,229
40.29,-79.8,12,5
40.26,-80.01,669,23
40.26,-79.95,33,3
40.48,-79.94,5157,115
40.41,-80.02,18193,497
40.4,-80.19,991,103
40.5,-79.81,2520,45
40.42,-79.97,6193,388
40.45,-79.86,1111,147
40.31,-80.17,45,15
40.34,-80.16,91,22
40.47,-80.13,2024,116
40.61,-79.85,1154,56
40.44,-80.11,500,129
40.46,-80.16,1875,624
40.24,-79.94,3,3
40.41,-79.98,2320,131
40.44,-80.12,255,29
40.49,-80.08,1035,73
40.42,-79.84,1318,118
40.33,-79.86,1654,64
40.55,-79.96,1805,153
40.59,-79.87,628,21
40.52,-79.9,27,13
40.48,-79.92,5743,992
40.4,-79.82,1786,136
40.33,-80.13,3202,172
40.31,-79.96,684,43
40.33,-79.85,1109,99
40.52,-80.12,54,36
40.35,-79.95,1628,606
40.34,-79.87,3644,124
40.43,-80.0,12202,2720
40.29,-79.87,119,27
40.34,-80.15,1720,15
