GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US420030201001005,420030201001005,"Block 1005, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001006,420030201001006,"Block 1006, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001007,420030201001007,"Block 1007, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001008,420030201001008,"Block 1008, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001009,420030201001009,"Block 1009, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001010,420030201001010,"Block 1010, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001011,420030201001011,"Block 1011, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001012,420030201001012,"Block 1012, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001013,420030201001013,"Block 1013, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",1
1000000US420030201001014,420030201001014,"Block 1014, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001015,420030201001015,"Block 1015, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001016,420030201001016,"Block 1016, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001017,420030201001017,"Block 1017, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",5
1000000US420030201001018,420030201001018,"Block 1018, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",1
1000000US420030201001019,420030201001019,"Block 1019, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001020,420030201001020,"Block 1020, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001021,420030201001021,"Block 1021, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",252
1000000US420030201001022,420030201001022,"Block 1022, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",2
1000000US420030201001023,420030201001023,"Block 1023, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",1
1000000US420030201001024,420030201001024,"Block 1024, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001025,420030201001025,"Block 1025, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001026,420030201001026,"Block 1026, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",85
1000000US420030201001027,420030201001027,"Block 1027, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001028,420030201001028,"Block 1028, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001029,420030201001029,"Block 1029, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001030,420030201001030,"Block 1030, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001031,420030201001031,"Block 1031, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001032,420030201001032,"Block 1032, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001033,420030201001033,"Block 1033, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001034,420030201001034,"Block 1034, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",1
1000000US420030201001035,420030201001035,"Block 1035, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001036,420030201001036,"Block 1036, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201001037,420030201001037,"Block 1037, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",1
1000000US420030201001038,420030201001038,"Block 1038, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002000,420030201002000,"Block 2000, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002001,420030201002001,"Block 2001, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002002,420030201002002,"Block 2002, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002003,420030201002003,"Block 2003, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002004,420030201002004,"Block 2004, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002005,420030201002005,"Block 2005, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002006,420030201002006,"Block 2006, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002007,420030201002007,"Block 2007, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002008,420030201002008,"Block 2008, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002009,420030201002009,"Block 2009, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002010,420030201002010,"Block 2010, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002011,420030201002011,"Block 2011, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002012,420030201002012,"Block 2012, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",211
1000000US420030201002013,420030201002013,"Block 2013, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002014,420030201002014,"Block 2014, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002015,420030201002015,"Block 2015, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002016,420030201002016,"Block 2016, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002017,420030201002017,"Block 2017, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002018,420030201002018,"Block 2018, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002019,420030201002019,"Block 2019, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",60
1000000US420030201002020,420030201002020,"Block 2020, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",93
1000000US420030201002021,420030201002021,"Block 2021, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",188
1000000US420030201002022,420030201002022,"Block 2022, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
1000000US420030201002023,420030201002023,"Block 2023, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",0
